"Sample number","Location","Type","Treatment","Size","Species","Plant type","Height","Width_farthest","Width_perpendicular","Branch_length","Branch_diameter","Basal_circ","Stem_diameter","Stem_height","Stem_density","Branches_per_stem","Leaves_per_branch","Total_leaves","Leaf_lmax","Leaf_lmin","Leaf_lavg","Leaf_wmax","Leaf_wmin","Leaf_wavg","Leaf_tmax","Leaf_tmin","Leaf_tavg","Biomass","Measurement_location"
1,"SME","garden","vegetated","small","Aptenia cordifolia","forb",4.5,17.5,14,4.5,0.43,0.44,0.44,22,1,NA,8.4,NA,3.5,1.5,2.48,2.3,1.1,1.79,0.27,0.16,0.21,3.34,"field"
2,"SME","garden","vegetated","small","Aptenia cordifolia","forb",6,10,7.5,3.17,0.4,10,NA,NA,6,NA,7.4,NA,3,1,2.07,2,0.8,1.46,0.26,0.09,0.16,1.46,"field"
3,"SME","garden","vegetated","small","Aptenia cordifolia","forb",8.5,12,9.5,3.75,0.35,11,NA,NA,4,NA,10.5,NA,3.8,1.8,2.79,2.4,1.1,1.78,0.28,0.12,0.16,1.36,"field"
4,"SME","garden","vegetated","large","Aptenia cordifolia","forb",NA,59.5,30,13,0.37,0.94,1,15,1,12,28,NA,5.3,1.8,3.44,3.2,1.3,2.12,0.2,0.14,0.16,11.79,"field"
5,"SME","garden","vegetated","large","Aptenia cordifolia","forb",NA,44.5,22,11,0.46,0.96,0.96,3,1,NA,18.2,NA,3.5,1.5,2.61,2,0.8,1.6,0.27,0.11,0.18,14.45,"field"
6,"SME","garden","vegetated","large","Aptenia cordifolia","forb",NA,84,35,34.85,0.32,1.66,1.66,2,1,27,22,NA,4.5,1.4,2.73,3,1,1.84,0.17,0.09,0.13,29.83,"field"
7,"OSLER","biofilter","vegetated","medium","Gnaphalium spp.","forb",23,4.5,4.3,2.62,0.055,NA,0.27,21,1,13,NA,40,2.8,1.1,1.98,0.3,0.1,0.21,0.04,0.02,0.03,0.73,"field"
8,"OSLER","biofilter","vegetated","medium","Gnaphalium spp.","forb",28,3,2.7,1.3,0.048,NA,0.19,27.5,1,10,NA,35,3.4,1,2.21,0.5,0.1,0.23,0.03,0.1,0.024,0.5,"field"
9,"OSLER","biofilter","vegetated","small","Gnaphalium spp.","forb",20,4.5,2.6,3.55,0.066,NA,0.15,20,1,7,NA,60,2.8,1,1.92,0.5,0.1,0.21,0.03,0.01,0.21,0.35,"field"
10,"OSLER","biofilter","vegetated","small","Gnaphalium spp.","forb",15,6,4,8,0.03,NA,0.22,5.3,1,3,NA,30,2.4,1,1.27,0.2,0.1,0.12,0.02,0.01,0.014,0.21,"field"
11,"OSLER","biofilter","vegetated","medium","Gnaphalium spp.","forb",18.5,9.5,5.5,6.3,0.092,NA,0.23,0.45,1,15,NA,100,1.5,0.5,1.12,0.2,0.1,0.12,0.03,0.01,0.023,1.14,"field"
12,"OSLER","biofilter",NA,"large","Lactucca spp.","forb",2,15,15,NA,NA,59,NA,NA,NA,NA,NA,11,8.5,4,6.5,2.7,1.3,2.08,0.09,0.04,0.059,0.31,"field"
13,"OSLER","biofilter",NA,"small","Lactucca spp.","forb",5,9,7,NA,NA,12.5,NA,NA,NA,NA,NA,7,6,2.2,4.1,2,1.2,1.56,0.05,0.02,0.027,0.05,"field"
14,"OSLER","biofilter",NA,"small","Lactucca spp.","forb",3.2,12,6,NA,NA,12,NA,NA,NA,NA,NA,6,6.8,1.9,4.48,2,1,1.58,0.04,0.02,0.033,0.03,"field"
15,"OSLER","biofilter",NA,"small","Lactucca spp.","forb",4,9.5,6,NA,NA,6.5,NA,NA,NA,NA,NA,4,7.5,3.6,6.15,1.9,1,1.43,0.04,0.03,0.038,0.03,"field"
16,"OSLER","biofilter",NA,"large","Lactucca spp.","forb",29,15,6,11,0.42,NA,NA,NA,NA,2,4.5,42,15,9,11.22,4,1,2.36,0.15,0.06,0.103,2.35,"lab"
17,"OSLER","biofilter","vegetated","small","Euphorbia spp.","forb",3,3.5,1,1.54,0.036,NA,0.03,1,NA,5,7.8,NA,0.5,0.25,0.42,0.4,0.15,0.26,0.01,0.01,0.01,0.01,"lab"
18,"OSLER","garden","vegetated","medium","Unidentified shrub","shrub",74.5,137,74,80.8,0.117,148,NA,NA,NA,725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.54,"field/lab"
19,"OSLER","garden","vegetated","medium","Unidentified shrub","shrub",87,94,81,76.35,0.078,85,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.54,"field/lab"
20,"ACTRI","biofilter","unvegetated","small","Onetheria biennis","forb",4,9,6.5,NA,NA,NA,0.18,1.3,1,NA,NA,9,7.4,1.1,4.47,1.9,0.2,1.17,0.06,0.02,0.039,0.09,"lab"
21,"ACTRI","biofilter","unvegetated","small","Onetheria biennis","forb",4.2,8.8,8.3,NA,NA,NA,0.21,0.9,1,NA,NA,9,7.3,0.9,4.28,1.9,0.2,1.19,0.06,0.03,0.043,0.1,"lab"
22,"ACTRI","biofilter","unvegetated","small","Onetheria biennis","forb",7,12.2,11,NA,NA,NA,NA,NA,1,NA,NA,22,8.5,2.5,5.42,1.7,0.8,1.26,0.08,0.02,0.056,0.4,"lab"
23,"ACTRI","biofilter","unvegetated","medium","Onetheria biennis","forb",9.5,20.5,17,NA,NA,NA,0.7,1.8,1,NA,NA,18,17,2.5,9.01,2.9,0.8,1.97,0.09,0.04,0.069,0.66,"lab"
24,"ACTRI","biofilter","unvegetated","medium","Onetheria biennis","forb",12.5,24,21,NA,NA,NA,0.66,1,1,NA,NA,37,16.5,3.1,10.61,2.4,0.6,1.51,0.08,0.06,0.07,1.22,"lab"
25,"ACTRI","biofilter","unvegetated","medium","Onetheria biennis","forb",6.5,14,13.5,NA,NA,NA,0.83,2.3,1,NA,NA,18,18.5,2.7,10.11,2.5,0.7,1.62,0.1,0.05,0.066,1.01,"lab"
26,"OSLER","biofilter","vegetated","large","Euphorbia spp.","forb",NA,13,10,4.42,0.074,NA,0.08,0.7,NA,36,26.8,NA,0.7,0.2,0.43,0.5,0.2,0.32,0.02,0.01,0.012,0.24,"lab"
27,"OSLER","biofilter","vegetated","medium","Euphorbia spp.","forb",NA,7.2,4.5,2.73,0.054,NA,0.05,0.4,NA,13,16.2,NA,0.6,0.2,0.38,0.4,0.2,0.3,0.01,0.01,0.01,0.08,"lab"
28,"SIO","biofilter",NA,"small","Euphorbia spp.","forb",NA,4.6,2.8,2.13,0.053,NA,0.06,0.7,1,4,9.75,NA,0.4,0.2,0.31,0.4,0.15,0.27,0.02,0.01,0.013,0.01,"lab"
29,"SIO","biofilter",NA,"small","Euphorbia spp.","forb",NA,3.7,1.3,1.3,0.058,NA,0.08,0.4,1,4,6.5,NA,0.45,0.2,0.32,0.35,0.2,0.26,0.01,0.01,0.01,0.01,"lab"
30,"SIO","biofilter",NA,"large","Euphorbia spp.","forb",NA,24,18,12.82,0.075,NA,0.18,0.2,NA,120,32,NA,0.55,0.3,0.44,0.5,0.25,0.38,0.02,0.01,0.017,1.63,"lab"
31,"SIO","biofilter",NA,"large","Euphorbia spp.","forb",NA,12.5,12.5,5.8,0.054,NA,0.13,0.7,NA,43,32.2,NA,0.4,0.15,0.27,0.3,0.15,0.23,0.01,0.01,0.01,0.49,"lab"
32,"SIO","biofilter",NA,"medium","Euphorbia spp.","forb",NA,8,6.2,2.83,0.051,NA,0.08,0.7,1,18,20.2,NA,0.5,0.2,0.34,0.4,0.15,0.26,0.01,0.01,0.01,0.13,"lab"
33,"SIO","biofilter",NA,"medium","Euphorbia spp.","forb",NA,8,3.7,2.38,0.059,NA,0.14,0.2,1,15,13.4,NA,0.5,0.15,0.32,0.4,0.15,0.26,0.01,0.01,0.01,0.12,"lab"
