Date,Time,Sample number,Location,Type,Treatment,Size,Species,Plant type,Height,Width_farthest,Width_perpendicular,Branch_length,Branch_diameter,Basal_circ,Stem_diameter,Stem_height,Stem_density,Branches__per_stem,Leaves_per_branch,Total_leaves,Leaf_lmax,Leaf_lmin,Leaf_lavg,Leaf_wmax,Leaf_wmin,Leaf_wavg,Leaf_tmax,Leaf_tmin,Leaf_tavg,Biomass,Measurement_location,Notes,leaf: branch (total; biomass),leaf: branch (single branch; biomass)
10/31/18,9:00 AM,1,SME,garden,vegetated,small,Aptenia cordifolia,forb,4.5,17.5,14,4.5,0.43,0.44,0.44,22,1,"6 (living), 1 (dead)",8.4,,3.5,1.5,2.48,2.3,1.1,1.79,0.27,0.16,0.21,3.34,field,,,
10/31/18,9:30 AM,2,SME,garden,vegetated,small,Aptenia cordifolia,forb,6,10,7.5,3.17,0.4,10,,,6,,7.4,,3,1,2.07,2,0.8,1.46,0.26,0.09,0.16,1.46,field,,,
10/31/18,9:30 AM,3,SME,garden,vegetated,small,Aptenia cordifolia,forb,8.5,12,9.5,3.75,0.35,11,,,4,,10.5,,3.8,1.8,2.79,2.4,1.1,1.78,0.28,0.12,0.16,1.36,field,,,
10/31/18,10:04 AM,4,SME,garden,vegetated,large,Aptenia cordifolia,forb,,59.5,30,13,0.37,0.94,1,15,1,12,28,,5.3,1.8,3.44,3.2,1.3,2.12,0.2,0.14,0.16,11.79,field,,,
10/31/18,10:35 AM,5,SME,garden,vegetated,large,Aptenia cordifolia,forb,,44.5,22,11,0.46,0.96,0.96,3,1,"18, 5(dead)",18.2,,3.5,1.5,2.61,2,0.8,1.6,0.27,0.11,0.18,14.45,field,,,
10/31/18,11:30 AM,6,SME,garden,vegetated,large,Aptenia cordifolia,forb,,84,35,34.85,0.32,1.66,1.66,2,1,27,22,,4.5,1.4,2.73,3,1,1.84,0.17,0.09,0.13,29.83,field,,,
11/2/18,9:00 AM,7,OSLER,biofilter,vegetated,medium,Gnaphaluim spp. ,forb,23,4.5,4.3,2.62,0.055,,0.27,21,1,13,,40,2.8,1.1,1.98,0.3,0.1,0.21,0.04,0.02,0.03,0.73,field,,,
11/2/18,9:15 AM,8,OSLER,biofilter,vegetated,medium,Gnaphaluim spp. ,forb,28,3,2.7,1.3,0.048,,0.19,27.5,1,10,,35,3.4,1,2.21,0.5,0.1,0.23,0.03,0.1,0.024,0.5,field,,,
11/2/18,9:36 AM,9,OSLER,biofilter,vegetated,small,Gnaphaluim spp. ,forb,20,4.5,2.6,3.55,0.066,,0.15,20,1,7,,60,2.8,1,1.92,0.5,0.1,0.21,0.03,0.01,0.21,0.35,field,,,
11/2/18,9:50 AM,10,OSLER,biofilter,vegetated,small,Gnaphaluim spp. ,forb,15,6,4,8,0.03,,0.22,5.3,1,3,,30,2.4,1,1.27,0.2,0.1,0.12,0.02,0.01,0.014,0.21,field,,,
11/2/18,10:00 AM,11,OSLER,biofilter,vegetated,medium,Gnaphaluim spp. ,forb,18.5,9.5,5.5,6.3,0.092,,0.23,0.45,1,15,,100,1.5,0.5,1.12,0.2,0.1,0.12,0.03,0.01,0.023,1.14,field,,,
11/2/18,10:21 AM,12,OSLER,biofilter,,large,Lactucca spp.,forb,2,15,15,n/a,n/a,59,n/a,n/a,n/a,n/a,n/a,11,8.5,4,6.5,2.7,1.3,2.08,0.09,0.04,0.059,0.31,field,,,
11/2/18,10:37 AM,13,OSLER,biofilter,,small,Lactucca spp.,forb,5,9,7,n/a,n/a,12.5,n/a,n/a,n/a,n/a,n/a,7,6,2.2,4.1,2,1.2,1.56,0.05,0.02,0.027,0.05,field,potentially different species from 012 (different leaf shape),,
11/2/18,10:52 AM,14,OSLER,biofilter,,small,Lactucca spp.,forb,3.2,12,6,n/a,n/a,12,n/a,n/a,n/a,n/a,n/a,6,6.8,1.9,4.48,2,1,1.58,0.04,0.02,0.033,0.03,field,look more like 012,,
11/2/18,10:55 AM,15,OSLER,biofilter,,small,Lactucca spp.,forb,4,9.5,6,n/a,n/a,6.5,n/a,n/a,n/a,n/a,n/a,4,7.5,3.6,6.15,1.9,1,1.43,0.04,0.03,0.038,0.03,field,,,
11/2/18,,16,OSLER,biofilter,,large,Lactucca spp.,forb,29,15,6,11,0.42,,n/a,n/a,n/a,2,4.5,42,15,9,11.22,4,1,2.36,0.15,0.06,0.103,2.35,lab,two branches (has more than one leaf attached),,
11/2/18,,17,OSLER,biofilter,vegetated,small,Euphorbia spp. ,forb,3,3.5,1,1.54,0.036,n/a,0.03,1,n/a,5,7.8,n/a,0.5,0.25,0.42,0.4,0.15,0.26,0.01,0.01,0.01,0.01,lab,,,
11/2/18,11:15 AM,18,OSLER,garden,vegetated,medium,Unidentified shrub ,shrub,74.5,137,74,80.8,0.117,148,n/a,n/a,n/a,725,n/a,n/a,,,,,,,,,,302.54,field/lab,,,
11/7/18,10:04 AM,19,OSLER,garden,vegetated,medium,Unidentified shrub ,shrub,87,94,81,76.35,0.078,85,n/a,n/a,n/a,900,n/a,n/a,,,,,,,,,,261.54,field/lab,,,
11/7/18,8:45 AM,20,ACTRI,biofilter,unvegetated,small,Onetheria biennis,forb,4,9,6.5,n/a,n/a,n/a,0.18,1.3,1,n/a,n/a,9,7.4,1.1,4.47,1.9,0.2,1.17,0.06,0.02,0.039,0.09,lab,,,
11/7/18,8:45 AM,21,ACTRI,biofilter,unvegetated,small,Onetheria biennis,forb,4.2,8.8,8.3,n/a,n/a,n/a,0.21,0.9,1,n/a,n/a,9,7.3,0.9,4.28,1.9,0.2,1.19,0.06,0.03,0.043,0.1,lab,,,
11/7/18,,22,ACTRI,biofilter,unvegetated,small,Onetheria biennis,forb,7,12.2,11,n/a,n/a,n/a,,,1,n/a,n/a,22,8.5,2.5,5.42,1.7,0.8,1.26,0.08,0.02,0.056,0.4,lab,,,
11/7/18,,23,ACTRI,biofilter,unvegetated,medium,Onetheria biennis,forb,9.5,20.5,17,n/a,n/a,n/a,0.7,1.8,1,n/a,n/a,18,17,2.5,9.01,2.9,0.8,1.97,0.09,0.04,0.069,0.66,lab,,,
11/7/18,,24,ACTRI,biofilter,unvegetated,medium,Onetheria biennis,forb,12.5,24,21,n/a,n/a,n/a,0.66,1,1,n/a,n/a,37,16.5,3.1,10.61,2.4,0.6,1.51,0.08,0.06,0.07,1.22,lab,,,
11/7/18,,25,ACTRI,biofilter,unvegetated,medium,Onetheria biennis,forb,6.5,14,13.5,n/a,n/a,n/a,0.83,2.3,1,n/a,n/a,18,18.5,2.7,10.11,2.5,0.7,1.62,0.1,0.05,0.066,1.01,lab,,,
11/9/18,9:00 AM,26,OSLER,biofilter,vegetated,large,Euphorbia spp. ,forb,n/a,13,10,4.42,0.074,n/a,0.08,0.7,n/a,36,26.8,n/a,0.7,0.2,0.43,0.5,0.2,0.32,0.02,0.01,0.012,0.24,lab,,,
11/9/18,,27,OSLER,biofilter,vegetated,medium,Euphorbia spp. ,forb,n/a,7.2,4.5,2.73,0.054,n/a,0.05,0.4,n/a,13,16.2,n/a,0.6,0.2,0.38,0.4,0.2,0.3,0.01,0.01,0.01,0.08,lab,,,
11/9/18,,28,SIO,biofilter,,small,Euphorbia spp. ,forb,n/a,4.6,2.8,2.13,0.053,n/a,0.06,0.7,1,4,9.75,n/a,0.4,0.2,0.31,0.4,0.15,0.27,0.02,0.01,0.013,0.01,lab,,,
11/9/18,,29,SIO,biofilter,,small,Euphorbia spp. ,forb,n/a,3.7,1.3,1.3,0.058,n/a,0.08,0.4,1,4,6.5,n/a,0.45,0.2,0.32,0.35,0.2,0.26,0.01,0.01,0.01,0.01,lab,,,
11/9/18,,30,SIO,biofilter,,large,Euphorbia spp. ,forb,n/a,24,18,12.82,0.075,n/a,0.18,0.2,n/a,120,32,n/a,0.55,0.3,0.44,0.5,0.25,0.38,0.02,0.01,0.017,1.63,lab,,,
11/9/18,,31,SIO,biofilter,,large,Euphorbia spp. ,forb,n/a,12.5,12.5,5.8,0.054,n/a,0.13,0.7,n/a,43,32.2,n/a,0.4,0.15,0.27,0.3,0.15,0.23,0.01,0.01,0.01,0.49,lab,,,
11/9/18,,32,SIO,biofilter,,medium,Euphorbia spp. ,forb,n/a,8,6.2,2.83,0.051,n/a,0.08,0.7,1,18,20.2,n/a,0.5,0.2,0.34,0.4,0.15,0.26,0.01,0.01,0.01,0.13,lab,,,
11/9/18,,33,SIO,biofilter,,medium,Euphorbia spp. ,forb,n/a,8,3.7,2.38,0.059,n/a,0.14,0.2,1,15,13.4,n/a,0.5,0.15,0.32,0.4,0.15,0.26,0.01,0.01,0.01,0.12,lab,,,
11/14/18,9:30 AM,34,ACTRI,biofilter,unvegetated,large,Unplanted weed ,forb,18,9,8,3.71,0.07,n/a,0.02,13,1,16,17.8,n/a,2.4,0.9,1.6,1,0.4,0.68,0.01,0.01,0.01,0.24,lab,,,
11/14/18,,35,ACTRI,biofilter,unvegetated,medium,Unplanted weed ,forb,7.5,n/a,n/a,n/a,n/a,n/a,0.07,7,,n/a,n/a,14,1.7,0.7,1.09,1,0.4,0.56,0.01,0.01,0.01,0.01,lab,,,
